NAME,USD/PLN
ISIN,USDPLN
2002-01-02,3.94800000
2002-01-03,3.95740000
2002-01-04,3.93830000
2002-01-07,3.90790000
2002-01-08,3.93220000
2002-01-09,3.96670000
2002-01-10,3.96370000
2002-01-11,4.05470000
2002-01-14,4.01160000
2002-01-15,4.03510000
2002-01-16,4.08510000
2002-01-17,4.12560000
2002-01-18,4.18800000
2002-01-21,4.14170000
2002-01-22,4.12000000
2002-01-23,4.11000000
2002-01-24,4.12910000
2002-01-25,4.16270000
2002-01-28,4.15220000
2002-01-29,4.10670000
2002-01-30,4.13870000
2002-01-31,4.16370000
2002-02-01,4.17500000
2002-02-04,4.21440000
2002-02-05,4.18850000
2002-02-06,4.20620000
2002-02-07,4.26280000
2002-02-08,4.22470000
2002-02-11,4.18630000
2002-02-12,4.17230000
2002-02-13,4.15930000
2002-02-14,4.20180000
2002-02-15,4.17930000
2002-02-18,4.15000000
2002-02-19,4.14760000
2002-02-20,4.16120000
2002-02-21,4.17390000
2002-02-22,4.17420000
2002-02-25,4.16800000
2002-02-26,4.18900000
2002-02-27,4.19460000
2002-02-28,4.20460000
2002-03-01,4.23310000
2002-03-04,4.18980000
2002-03-05,4.16420000
2002-03-06,4.14730000
2002-03-07,4.13760000
2002-03-08,4.16170000
2002-03-11,4.14640000
2002-03-12,4.14460000
2002-03-13,4.16300000
2002-03-14,4.14620000
2002-03-15,4.11560000
2002-03-18,4.11060000
2002-03-19,4.10670000
2002-03-20,4.11590000
2002-03-21,4.10360000
2002-03-22,4.10850000
2002-03-25,4.12690000
2002-03-26,4.13430000
2002-03-27,4.11590000
2002-03-28,4.11730000
2002-03-29,4.13210000
2002-04-02,4.11130000
2002-04-03,4.08970000
2002-04-04,4.08580000
2002-04-05,4.09690000
2002-04-08,4.08610000
2002-04-09,4.09830000
2002-04-10,4.08650000
2002-04-11,4.08800000
2002-04-12,4.06070000
2002-04-15,4.06000000
2002-04-16,4.06200000
2002-04-17,4.05430000
2002-04-18,4.03890000
2002-04-19,4.03260000
2002-04-22,4.04120000
2002-04-23,4.03810000
2002-04-24,4.04400000
2002-04-25,4.03520000
2002-04-26,4.02840000
2002-04-29,3.98270000
2002-04-30,3.98020000
2002-05-02,3.97760000
2002-05-06,3.98010000
2002-05-07,3.96250000
2002-05-08,3.98490000
2002-05-09,4.01550000
2002-05-10,3.99980000
2002-05-13,4.01470000
2002-05-14,4.10660000
2002-05-15,4.06370000
2002-05-16,4.10420000
2002-05-17,4.12090000
2002-05-20,4.09780000
2002-05-21,4.08300000
2002-05-22,4.09530000
2002-05-23,4.09240000
2002-05-24,4.09580000
2002-05-27,4.07320000
2002-05-28,4.05450000
2002-05-29,4.05350000
2002-05-31,4.03110000
2002-06-03,4.02500000
2002-06-04,4.01550000
2002-06-05,4.02280000
2002-06-06,4.01640000
2002-06-07,4.00350000
2002-06-10,4.02640000
2002-06-11,4.02650000
2002-06-12,4.02940000
2002-06-13,4.02740000
2002-06-14,4.02320000
2002-06-17,4.04200000
2002-06-18,4.04550000
2002-06-19,4.01460000
2002-06-20,4.03310000
2002-06-21,4.02100000
2002-06-24,4.01410000
2002-06-25,4.02780000
2002-06-26,4.00340000
2002-06-27,4.04130000
2002-06-28,4.04180000
2002-07-01,4.05290000
2002-07-02,4.00250000
2002-07-03,4.11350000
2002-07-04,4.11200000
2002-07-05,4.15730000
2002-07-08,4.13950000
2002-07-09,4.22580000
2002-07-10,4.17510000
2002-07-11,4.16980000
2002-07-12,4.17510000
2002-07-15,4.16970000
2002-07-16,4.16680000
2002-07-17,4.11130000
2002-07-18,4.08360000
2002-07-19,4.04310000
2002-07-22,4.02070000
2002-07-23,4.08380000
2002-07-24,4.11560000
2002-07-25,4.07130000
2002-07-26,4.09250000
2002-07-29,4.11780000
2002-07-30,4.14530000
2002-07-31,4.16850000
2002-08-01,4.17840000
2002-08-02,4.21080000
2002-08-05,4.17030000
2002-08-06,4.18890000
2002-08-07,4.20450000
2002-08-08,4.17940000
2002-08-09,4.19380000
2002-08-12,4.18600000
2002-08-13,4.18000000
2002-08-14,4.16080000
2002-08-16,4.17880000
2002-08-19,4.16890000
2002-08-20,4.15020000
2002-08-21,4.13680000
2002-08-22,4.19130000
2002-08-23,4.19650000
2002-08-26,4.18420000
2002-08-27,4.16480000
2002-08-28,4.17110000
2002-08-29,4.14710000
2002-08-30,4.14200000
2002-09-02,4.12720000
2002-09-03,4.12720000
2002-09-04,4.11380000
2002-09-05,4.14150000
2002-09-06,4.16700000
2002-09-09,4.16990000
2002-09-10,4.15630000
2002-09-11,4.15590000
2002-09-12,4.15920000
2002-09-13,4.16130000
2002-09-16,4.19510000
2002-09-17,4.18930000
2002-09-18,4.17230000
2002-09-19,4.13830000
2002-09-20,4.12720000
2002-09-23,4.13140000
2002-09-24,4.15320000
2002-09-25,4.13330000
2002-09-26,4.13290000
2002-09-27,4.14740000
2002-09-30,4.14820000
2002-10-01,4.14300000
2002-10-02,4.14340000
2002-10-03,4.14540000
2002-10-04,4.14550000
2002-10-07,4.16250000
2002-10-08,4.16540000
2002-10-09,4.17060000
